Waktu,Asal,Maskapai,Penerbangan,Terminal_Pintu,Keterangan,Bagasi,Radar_Penerbangan
00:05 26 July,JOG Yogyakarta,QZ Air Asia Indonesia,QZ 7555N,2E -,,6,(#)
00:05 26 July,DMK Bangkok Don Mueang,QZ Air Asia Indonesia,QZ 0253,2F -,,12,(#)
00:10 26 July,DPS Bali,JT Lion Airlines,JT 0019,1B -,,B1,(#)
00:30 26 July,DPS Bali,QZ Air Asia Indonesia,QZ 7517,2E -,,7,(#)
00:50 26 July,DPS Bali,JT Lion Airlines,JT 0039,1B -,,B1,(#)
01:00 26 July,KUL Kuala Lumpur,AK Air Asia Benhard,AK 0382,2F -,,11,(#)
01:10 26 July,DPS Bali,QZ Air Asia Indonesia,QZ 7523,2E -,,6,(#)
01:50 26 July,BWN Bandar Seri Begawan,BI Royal Brunei Airlines,BI 0737,3U -,,U1,(#)
01:50 26 July,BWN Bandar Seri Begawan,GA Garuda Indonesia,GA 9005,3U -,,U1,(#)
02:00 26 July,HGR Hagerstown,JT Lion Airlines,JT 0001,HG -,,,(#)
03:00 26 July,HGR Hagerstown,QG Citilink Indonesia,QG 0001,HG -,,,(#)
03:00 26 July,HGR Hagerstown,SJ Sriwijaya Airlines,SJ 0001,2D -,,,(#)
04:00 26 July,HGR Hagerstown,IN Nam Air,IN 0001,2D -,,,(#)
04:00 26 July,HKG Hong Kong,CX Cathay Pacific Airways,CX 0753,3U -,,U2,(#)
04:10 26 July,HGR Hagerstown,GA Garuda Indonesia,GA 0001,HG -,,,(#)
04:30 26 July,HGR Hagerstown,QG Citilink Indonesia,QG 0002,HG -,,,(#)
04:30 26 July,HND Tokyo Haneda,NH All Nippon,NH 0871,3U -,,U6,(#)
04:30 26 July,HND Tokyo Haneda,GA Garuda Indonesia,GA 9351,-,,U6,(#)
04:40 26 July,JED Jeddah,GA Garuda Indonesia,GA 7363I,2D -,,1,(#)
04:45 26 July,HAK Haikou,JT Lion Airlines,JT 2788,2F -,,11,(#)
05:10 26 July,HGR Hagerstown,GA Garuda Indonesia,GA 0000,HG -,,,(#)
05:10 26 July,HGR Hagerstown,GA Garuda Indonesia,GA 0005,HG -,,,(#)
06:00 26 July,JOG Yogyakarta,SJ Sriwijaya Airlines,SJ 0219,2D -,,2,(#)
06:00 26 July,HGR Hagerstown,GA Garuda Indonesia,GA 0006,HG -,,,(#)
06:05 26 July,PLM Palembang,QG Citilink Indonesia,QG 0985,1C -,,C1,(#)
06:15 26 July,HGR Hagerstown,GA Garuda Indonesia,GA 0007,HG -,,,(#)
